ticket_id,title,description,category,subcategory,status,priority,created_by,assigned_to,created_date
TCK-b8603b46,Access issue - animal,Line pick middle industry do model also.,Access,Permissions,Open,High,Samantha,Hailey,2025-09-18T21:58:54.805849
TCK-90955d93,Access issue - question,Seven make according feel think measure politics sure worker race much send model especially boy night.,Access,2FA,Resolved,Critical,Julie,Michelle,2025-10-11T21:58:54.805849
TCK-30d99a51,Email issue - official,Reach thousand per big draw different realize piece figure perform.,Email,Delivery,Resolved,Critical,Jason,Laura,2025-10-15T21:58:54.806348
TCK-011b20eb,Email issue - not,Tell free left hair debate ability maintain in or many position under.,Email,Quota,Resolved,High,Sarah,Terri,2025-10-14T21:58:54.806348
TCK-ad6a4c4d,Network issue - mouth,Toward through record into carry out list bill development military agent make follow mind.,Network,Router,Closed,Critical,Eric,Kristin,2025-10-01T21:58:54.806848
TCK-d424fa36,Network issue - force,Apply bag would free factor happen husband quality pick none.,Network,Router,Closed,Critical,Mary,Paul,2025-09-18T21:58:54.806848
TCK-6b57b4c6,Software issue - bit,Much participant sit bad inside itself type director be remember court everybody now.,Software,Update,In Progress,Critical,Jonathon,Faith,2025-09-16T21:58:54.806848
TCK-33206458,Access issue - water,Land few personal movie day fact capital hour firm local space environment.,Access,Password,Open,Medium,Daniel,Kimberly,2025-09-19T21:58:54.807347
TCK-1fda0353,Network issue - our,Not mean garden hope south enter large project strategy.,Network,LAN,Resolved,Medium,Tina,Eric,2025-10-09T21:58:54.807347
TCK-8ac0b1ad,Network issue - charge,Series race environmental expert develop send benefit threat national.,Network,Router,Closed,Medium,Dominique,Christopher,2025-09-30T21:58:54.807347
TCK-6664f5f6,Access issue - much,Even crime reflect quality ok sometimes story run our seat condition growth hard different yard.,Access,Password,Resolved,Critical,Haley,Angela,2025-09-29T21:58:54.807847
TCK-42358ec0,Software issue - choice,Purpose evidence house reality wrong paper Mr range say fill collection establish anyone.,Software,OS,Closed,Critical,Mallory,Denise,2025-09-24T21:58:54.807847
TCK-0cf55101,Access issue - field,Itself nor performance practice four artist example affect court them risk although mean.,Access,Permissions,Resolved,Medium,Jason,Lisa,2025-10-06T21:58:54.808347
TCK-9efd2afd,Access issue - college,Want close dream mouth least difference dream always people success current.,Access,2FA,Resolved,High,Justin,Michael,2025-09-16T21:58:54.808347
