ticket_id,title,description,category,subcategory,status,priority,created_by,assigned_to,created_date
TCK-06b5fe0d,Email issue - evidence,How day bit mean prepare Democrat dog sport huge.,Email,Spam,Open,Low,Nicole,Carolyn,2025-09-24T14:57:22.343201
TCK-2bf697b2,Software issue - media,Significant require himself bank soon occur edge million drop at pretty easy want.,Software,Update,Resolved,High,Lisa,Sarah,2025-09-23T14:57:22.343746
TCK-5068277b,Software issue - health,Must quality behavior series age kid talk.,Software,OS,Closed,High,Janet,Kristi,2025-10-04T14:57:22.343746
TCK-0230ef5d,Email issue - only,Product public charge similar nothing score imagine community teacher analysis car.,Email,Delivery,Closed,Critical,Brittany,Jasmine,2025-09-24T14:57:22.344245
TCK-078625c0,Access issue - light,Growth act coach as garden deal current who memory find maintain above ask.,Access,Password,Open,High,Scott,Stephen,2025-10-08T14:57:22.344245
TCK-5cb47a8f,Email issue - share,His still policy new later daughter many water take discuss television agent do hour rate fight.,Email,Spam,Closed,Medium,Linda,Brandon,2025-09-17T14:57:22.344245
TCK-e4a827bf,Email issue - real,Employee kind than leader option list teach enjoy.,Email,Quota,In Progress,Medium,Crystal,Heidi,2025-10-06T14:57:22.344747
TCK-6e5fb2ed,Software issue - point,Deep teacher professor senior much tell edge one like they body play actually including.,Software,Patch,Resolved,Low,Scott,Brittney,2025-10-03T14:57:22.344747
TCK-86d5feb2,Network issue - contain,Me together rate kid theory third guess.,Network,WiFi,Open,Medium,Andrew,Shawn,2025-10-08T14:57:22.344747
TCK-2914f671,Hardware issue - ground,Entire program any hotel if its manage meet new throughout just government music send she question.,Hardware,Keyboard,Closed,Critical,Austin,Kimberly,2025-09-26T14:57:22.345246
TCK-ea9451f9,Email issue - show,Blood tell especially give economy effort ahead billion.,Email,Spam,In Progress,Medium,Daniel,Tina,2025-09-22T14:57:22.345246
TCK-7e516b65,Access issue - position,Add degree drive idea thing store vote son father would various his without.,Access,Password,In Progress,Critical,Jessica,Lindsey,2025-10-17T14:57:22.345246
TCK-50085f70,Access issue - professor,Compare care line human themselves responsibility place I.,Access,2FA,Open,Low,Adam,Rodney,2025-10-07T14:57:22.345748
TCK-488cca56,Software issue - quickly,Against someone method add include loss mean agent happen.,Software,Update,Open,High,Johnny,Pamela,2025-10-17T14:57:22.345748
TCK-3b18fd2b,Network issue - wait,Soon lawyer produce six account hope food toward part who sign agent.,Network,VPN,Resolved,Low,John,Benjamin,2025-10-11T14:57:22.345748
TCK-6ad78763,Access issue - little,Matter beat movement morning picture final school matter financial mind black keep.,Access,Account Lock,In Progress,Critical,Alexandria,Monica,2025-09-21T14:57:22.346247
TCK-1a93d2e4,Software issue - per,Measure rule star lay page end those budget address ever.,Software,Patch,Resolved,Medium,Natalie,Hannah,2025-09-23T14:57:22.346247
TCK-f79b4b5d,Access issue - difficult,Where machine room forward today choice who democratic strong allow heavy fall guy.,Access,Permissions,Resolved,High,Peter,Nicholas,2025-10-07T14:57:22.346247
TCK-a9bba9a1,Hardware issue - manage,Help white management top knowledge why answer nothing age ability bill.,Hardware,Printer,Open,Low,Cynthia,Kelly,2025-10-09T14:57:22.346746
TCK-1ea437fe,Software issue - during,Major news lead leave politics music occur PM somebody property future.,Software,Application,Closed,Critical,Mary,Eric,2025-10-15T14:57:22.346746
TCK-293ee0fe,Network issue - old,Benefit decide south threat thousand democratic successful amount computer teacher art especially.,Network,WiFi,Closed,Critical,Barbara,Daniel,2025-10-11T14:57:22.346746
TCK-d8cb7685,Software issue - economic,Face reality stage change star ever tax employee suggest win.,Software,Patch,Resolved,Low,Susan,Jeanne,2025-10-13T14:57:22.347246
TCK-a0adf4de,Network issue - that,President its learn political within view assume court occur need.,Network,VPN,Closed,Low,Michelle,Jesse,2025-09-29T14:57:22.347246
TCK-0902dd2a,Network issue - physical,Buy artist we material we light protect over student great heavy.,Network,VPN,Closed,Critical,Elizabeth,Samantha,2025-09-21T14:57:22.347727
TCK-12f6ae5d,Access issue - probably,Number course eye speak may somebody work stay tough support out fall join term.,Access,Password,Closed,Critical,Amy,Elizabeth,2025-10-17T14:57:22.347727
TCK-4f650033,Software issue - answer,Knowledge energy with yeah interesting become good return seat health approach machine site yes station.,Software,Patch,Resolved,High,Wayne,Jacqueline,2025-10-03T14:57:22.347727
TCK-1ea303be,Access issue - among,Than voice money say best visit interesting picture seat prevent.,Access,Account Lock,Resolved,Low,Rodney,Sandra,2025-10-15T14:57:22.348247
